"DataSupplier","DataSet","Commodity","Species","SpeciesType","SACN","Volume","Units","Year","TemporalResolution","Flag","FlagDescription"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Abalone","Bivalve","Shellfish",4605000,"Grams",2012,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Abalone","Bivalve","Shellfish",10414000,"Grams",2012,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Abalone","Bivalve","Shellfish",3931000,"Grams",2013,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Abalone","Bivalve","Shellfish",13754000,"Grams",2013,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Abalone","Bivalve","Shellfish",200000,"Grams",2014,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Abalone","Bivalve","Shellfish",18873000,"Grams",2014,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Abalone","Bivalve","Shellfish",1234000,"Grams",2015,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Abalone","Bivalve","Shellfish",19264000,"Grams",2015,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Abalone","Bivalve","Shellfish",2946000,"Grams",2016,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Abalone","Bivalve","Shellfish",13354000,"Grams",2016,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Abalone","Bivalve","Shellfish",14156000,"Grams",2017,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Abalone","Bivalve","Shellfish",11887000,"Grams",2017,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Abalone","Bivalve","Shellfish",20196000,"Grams",2018,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Abalone","Bivalve","Shellfish",13235000,"Grams",2018,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Abalone","Bivalve","Shellfish",17454000,"Grams",2019,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Abalone","Bivalve","Shellfish",7861000,"Grams",2019,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Abalone","Bivalve","Shellfish",8318000,"Grams",2020,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Abalone","Bivalve","Shellfish",2893000,"Grams",2020,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Anchovy","Small pelagic","Oily",242625000,"Grams",2009,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Anchovy","Small pelagic","Oily",1694741000,"Grams",2009,"Annual","ConV1","ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
