"DataSupplier","DataSet","Commodity","Species","SpeciesType","Value","Units","Year","TemporalResolution","Flag","FlagDescription"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Anchovy","Pelagic",1.784928,"1000 tonnes",2013,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Anchovy","Pelagic",0.913634,"1000 tonnes",2014,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Anchovy","Pelagic",2.151423,"1000 tonnes",2014,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Anchovy","Pelagic",0.112951,"1000 tonnes",2015,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Anchovy","Pelagic",1.927772,"1000 tonnes",2015,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Anchovy","Pelagic",0.36409,"1000 tonnes",2016,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Anchovy","Pelagic",1.718907,"1000 tonnes",2016,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Anchovy","Pelagic",3.855065,"1000 tonnes",2017,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Anchovy","Pelagic",1.53081,"1000 tonnes",2017,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Anchovy","Pelagic",7.900838,"1000 tonnes",2018,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Anchovy","Pelagic",1.669971,"1000 tonnes",2018,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Anchovy","Pelagic",1.397199,"1000 tonnes",2019,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Anchovy","Pelagic",1.755537,"1000 tonnes",2019,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Blue whiting","Demersal",23.034634,"1000 tonnes",2009,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Blue whiting","Demersal",6.636372,"1000 tonnes",2009,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Blue whiting","Demersal",36.662898,"1000 tonnes",2010,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Blue whiting","Demersal",5.314253,"1000 tonnes",2010,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Blue whiting","Demersal",3.20269,"1000 tonnes",2011,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Blue whiting","Demersal",0.061695,"1000 tonnes",2011,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Blue whiting","Demersal",26.65544,"1000 tonnes",2012,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Blue whiting","Demersal",22.486675,"1000 tonnes",2012,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Blue whiting","Demersal",18.598418,"1000 tonnes",2013,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Blue whiting","Demersal",5.084028,"1000 tonnes",2013,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Blue whiting","Demersal",4.386208,"1000 tonnes",2014,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Blue whiting","Demersal",0.006775,"1000 tonnes",2014,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Blue whiting","Demersal",1.814312,"1000 tonnes",2015,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
